"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"de:nvv:314:",179,"314","",3,"8A1478","FFFFFF",""
"de:nvv:311:",179,"311","",3,"8A1478","FFFFFF",""
"de:nvv:308:",179,"308","",3,"8A1478","FFFFFF",""
"de:nvv:301:",179,"301","",3,"8A1478","FFFFFF",""
"de:nvv:315:",179,"315","",3,"8A1478","FFFFFF",""
"de:nvv:313:",179,"313","",3,"8A1478","FFFFFF",""
"de:nvv:310:",179,"310","",3,"8A1478","FFFFFF",""
"de:nvv:304:",179,"304","",3,"8A1478","FFFFFF",""
"de:nvv:303:",179,"303","",3,"8A1478","FFFFFF",""
"de:nvv:305:",179,"305","",3,"8A1478","FFFFFF",""
"de:nvv:302:",179,"302","",3,"8A1478","FFFFFF",""
"de:nvv:585:",179,"5","",3,"8A1478","FFFFFF",""
"de:nvv:584:",179,"4","",3,"8A1478","FFFFFF",""
"de:nvv:583:",179,"3","",3,"8A1478","FFFFFF",""
"de:nvv:582:",179,"2","",3,"8A1478","FFFFFF",""
"de:nvv:581:",179,"1","",3,"8A1478","FFFFFF",""
"de:nvv:526:",179,"526","",3,"8A1478","FFFFFF",""
"de:nvv:519:",179,"519","",3,"8A1478","FFFFFF",""
"de:nvv:508:",179,"508","",3,"8A1478","FFFFFF",""
"de:nvv:507:",179,"507","",3,"8A1478","FFFFFF",""
"de:nvv:506:",179,"506","",3,"8A1478","FFFFFF",""
"de:nvv:505:",179,"505","",3,"8A1478","FFFFFF",""
"de:nvv:72:",179,"72","",3,"8A1478","FFFFFF",""
"de:nvv:71:",179,"71","",3,"8A1478","FFFFFF",""
"de:nvv:456:",179,"456","",3,"8A1478","FFFFFF",""
"de:nvv:457:",179,"457","",3,"8A1478","FFFFFF",""
"de:nvv:424:",179,"424","",3,"8A1478","FFFFFF",""
"de:nvv:423:",179,"423","",3,"8A1478","FFFFFF",""
"de:nvv:422:",179,"422","",3,"8A1478","FFFFFF",""
"de:nvv:573:",179,"573","",3,"8A1478","FFFFFF",""
"de:nvv:572:",179,"572","",3,"8A1478","FFFFFF",""
"de:nvv:571:",179,"571","",3,"8A1478","FFFFFF",""
"de:nvv:590:",179,"590","",3,"8A1478","FFFFFF",""
"de:nvv:580:",179,"580","",3,"8A1478","FFFFFF",""
"de:nvv:541:",179,"541","",3,"8A1478","FFFFFF",""
"de:nvv:548:",179,"548","",3,"8A1478","FFFFFF",""
"de:nvv:547:",179,"547","",3,"8A1478","FFFFFF",""
"de:nvv:546:",179,"546","",3,"8A1478","FFFFFF",""
"de:nvv:522:",179,"522","",3,"8A1478","FFFFFF",""
"de:nvv:523:",179,"523","",3,"8A1478","FFFFFF",""
"de:nvv:509:",179,"509","",3,"8A1478","FFFFFF",""
"de:nvv:542:",179,"542","",3,"8A1478","FFFFFF",""
"de:nvv:290:",179,"290","",3,"8A1478","FFFFFF",""
"de:nvv:284:",179,"B","",3,"8A1478","FFFFFF",""
"de:nvv:283:",179,"A","",3,"8A1478","FFFFFF",""
"de:nvv:282:",179,"2","",3,"8A1478","FFFFFF",""
"de:nvv:281:",179,"1","",3,"8A1478","FFFFFF",""
"de:nvv:275:",179,"5","",3,"8A1478","FFFFFF",""
"de:nvv:274:",179,"4","",3,"8A1478","FFFFFF",""
"de:nvv:273:",179,"3","",3,"8A1478","FFFFFF",""
"de:nvv:272:",179,"2","",3,"8A1478","FFFFFF",""
"de:nvv:271:",179,"1","",3,"8A1478","FFFFFF",""
"de:nvv:260:",179,"260","",3,"8A1478","FFFFFF",""
"de:nvv:252:",179,"252","",3,"8A1478","FFFFFF",""
"de:nvv:251:",179,"251","",3,"8A1478","FFFFFF",""
"de:nvv:224:",179,"224","",3,"8A1478","FFFFFF",""
"de:nvv:221:",179,"221","",3,"8A1478","FFFFFF",""
"de:nvv:200:",179,"200","",3,"8A1478","FFFFFF",""
"de:nvv:511:",179,"511","",3,"8A1478","FFFFFF",""
"de:nvv:116:",179,"116","",3,"8A1478","FFFFFF",""
"de:nvv:594:",179,"4","",3,"8A1478","FFFFFF",""
"de:nvv:593:",179,"3","",3,"8A1478","FFFFFF",""
"de:nvv:592:",179,"2","",3,"8A1478","FFFFFF",""
"de:nvv:591:",179,"1","",3,"8A1478","FFFFFF",""
"de:nvv:136:",179,"136","",3,"8A1478","FFFFFF",""
"de:nvv:484:",179,"484","",3,"8A1478","FFFFFF",""
"de:nvv:471:",179,"471","",3,"8A1478","FFFFFF",""
"de:nvv:419:",179,"419","",3,"8A1478","FFFFFF",""
"de:nvv:418:",179,"418","",3,"8A1478","FFFFFF",""
"de:nvv:417:",179,"417","",3,"8A1478","FFFFFF",""
"de:nvv:413:",179,"413","",3,"8A1478","FFFFFF",""
"de:nvv:411:",179,"411","",3,"8A1478","FFFFFF",""
"de:nvv:407:",179,"407","",3,"8A1478","FFFFFF",""
"de:nvv:464:",179,"464","",3,"8A1478","FFFFFF",""
"de:nvv:463:",179,"463","",3,"8A1478","FFFFFF",""
"de:nvv:462:",179,"462","",3,"8A1478","FFFFFF",""
"de:nvv:461:",179,"461","",3,"8A1478","FFFFFF",""
"de:nvv:460:",179,"460","",3,"8A1478","FFFFFF",""
"de:nvv:515:",179,"515","",3,"8A1478","FFFFFF",""
"de:nvv:514:",179,"514","",3,"8A1478","FFFFFF",""
"de:nvv:513:",179,"513","",3,"8A1478","FFFFFF",""
"de:nvv:512:",179,"512","",3,"8A1478","FFFFFF",""
"de:nvv:410:",179,"410","",3,"8A1478","FFFFFF",""
"de:nvv:516:",179,"516","",3,"8A147A","FFFFFF",""
"de:nvv:518:",179,"518","",3,"8A147A","FFFFFF",""
"de:nvv:517:",179,"517","",3,"8A1478","FFFFFF",""
"de:nvv:357:",179,"7","",3,"8A1478","FFFFFF",""
"de:nvv:356:",179,"6","Bus 356",3,"8A1478","FFFFFF",""
"de:nvv:355:",179,"5","Bus 355",3,"8A1478","FFFFFF",""
"de:nvv:354:",179,"4","",3,"8A1478","FFFFFF","StadtBus Bad Hersfeld Linie 4: Heenes <> Allmershausen <> Kalkobes <> Breitenstraße"
"de:nvv:353:",179,"3","Bus 353",3,"8A1478","FFFFFF","StadtBus Bad Hersfeld Linie 3: Eichhof <> Breitenstraße <> Petersberg <> Sorga <> Kathus3"
"de:nvv:352:",179,"2","Bus 352",3,"8A1478","FFFFFF","StadtBus Bad Hersfeld Linie 2: Klinikum <> Breitenstraße <> Johannesberg"
"de:nvv:351:",179,"1","StadtBUS 1",3,"8A1478","FFFFFF","StadtBus Bad Hersfeld Linie 1: Frauenberg <> Breitenstraße <> Hohe Luft"
"de:nvv:325:",179,"325","",3,"8A1478","FFFFFF",""
"de:nvv:236:",179,"236","",3,"8A1478","FFFFFF",""
"de:nvv:235:",179,"235","",3,"8A1478","FFFFFF",""
"de:nvv:232:",179,"232","",3,"8A1478","FFFFFF",""
"de:nvv:230:",179,"230","",3,"8A1478","FFFFFF",""
"de:nvv:210:",179,"210","",3,"8A1478","FFFFFF",""
"de:nvv:207:",179,"207","",3,"8A1478","FFFFFF",""
"de:nvv:206:",179,"206","",3,"8A1478","FFFFFF",""
"de:nvv:205:",179,"205","",3,"8A1478","FFFFFF",""
"de:nvv:204:",179,"204","",3,"8A1478","FFFFFF",""
"de:nvv:560:",179,"560","",3,"8A1478","FFFFFF",""
"de:nvv:N49:",179,"N49","",3,"004F9F","FFFFFF","Kassel Königsplatz/Mauerstraße > Vellmar > Ahnatal > Calden > Espenau > Vellmar > Kassel Königsplatz/Mauerstraße"
"de:nvv:N40:",179,"N40","",3,"004F9F","FFFFFF","Kassel Königsplatz/Mauerstraße <> Weserspitze <> Wolfsanger <> Fuldatal"
"de:nvv:49:",179,"49","Bus 49",3,"8A1478","FFFFFF","Ortsverkehr Ahnatal: Weimar <> Kammerberg <> Heckershausen"
"de:nvv:48:",179,"48","Bus 48",3,"8A1478","FFFFFF","Vellmar Stadtmitte / Niedervellmar Dörnbergstraße <> Obervellmar <> Heckershausen <> Kammerberg <> Weimar"
"de:nvv:45:",179,"45","Bus 45",3,"8A1478","FFFFFF","Kassel <> Fuldatal <> Hann. Münden/Vellmar"
"de:nvv:44:",179,"44","Bus 44",3,"8A1478","FFFFFF","StadtBus Vellmar: Vellmar Stadtmitte <> Frommershausen <> Niedervellmar <> Kassel Holländische Straße"
"de:nvv:43:",179,"43","Bus 43",3,"8A1478","FFFFFF","StadtBus Vellmar: Vellmar Stadtmitte <> Obervellmar <> Vellmar-West <> Dörnbergstraße <> Herkules Einkaufszentrum"
"de:nvv:42:",179,"42","Bus 42",3,"8A1478","FFFFFF","Kassel Ihringshäuser Straße <> Fuldatal <> Hann. Münden"
"de:nvv:41:",179,"41","Bus 41",3,"8A1478","FFFFFF","Kassel Ihringshäuser Straße <> Ihringshausen <> Vellmar Stadtmitte"
"de:nvv:40:",179,"40","Bus 40",3,"8A1478","FFFFFF","Kassel Ihringshäuser Straße <> Fuldatal-Ihringshausen <> Simmershausen <> Rothwesten <> Immenhausen-Holzhausen"
"de:nvv:569:",179,"569","",3,"8A1478","FFFFFF",""
"de:nvv:568:",179,"568","",3,"8A1478","FFFFFF",""
"de:nvv:566:",179,"566","",3,"8A1478","FFFFFF",""
"de:nvv:565:",179,"565","",3,"8A1478","FFFFFF",""
"de:nvv:564:",179,"564","",3,"8A1478","FFFFFF",""
"de:nvv:563:",179,"563","",3,"8A1478","FFFFFF",""
"de:nvv:562:",179,"562","",3,"8A1478","FFFFFF",""
"de:nvv:420:",179,"420","",3,"8A1478","FFFFFF",""
"de:nvv:498:",179,"498","",3,"8A1478","FFFFFF",""
"de:nvv:493:",179,"493","",3,"8A1478","FFFFFF",""
"de:nvv:491:",179,"491","",3,"8A1478","FFFFFF",""
"de:nvv:450:",179,"450","",3,"8A1478","FFFFFF",""
"de:nvv:442:",179,"442","",3,"8A1478","FFFFFF",""
"de:nvv:441:",179,"441","",3,"8A1478","FFFFFF",""
"de:nvv:440:",179,"440","",3,"8A1478","FFFFFF",""
"de:nvv:431:",179,"431","",3,"8A1478","FFFFFF",""
"de:nvv:427:",179,"427","",3,"8A1478","FFFFFF",""
"de:nvv:426:",179,"426","",3,"8A1478","FFFFFF",""
"de:nvv:425:",179,"425","",3,"8A1478","FFFFFF",""
"de:nvv:195:",179,"195","",3,"8A1478","FFFFFF",""
"de:nvv:194:",179,"194","",3,"8A1478","FFFFFF",""
"de:nvv:193:",179,"193","",3,"8A1478","FFFFFF",""
"de:nvv:192:",179,"192","",3,"8A1478","FFFFFF",""
"de:nvv:191:",179,"191","",3,"8A1478","FFFFFF",""
"de:nvv:190:",179,"190","",3,"8A1478","FFFFFF",""
